iter	Passed	Remaining
630	6813	3984
631	6822	3972
632	6832	3961
633	6841	3949
634	6851	3938
635	6861	3927
636	6871	3915
637	6880	3904
638	6890	3892
639	6900	3881
640	6912	3871
641	6923	3860
642	6933	3849
643	6943	3838
644	6953	3826
645	6962	3815
646	6972	3804
647	6982	3793
648	6992	3782
649	7002	3770
650	7012	3759
651	7022	3748
652	7032	3736
653	7042	3725
654	7052	3714
655	7061	3703
656	7071	3691
657	7083	3681
658	7094	3670
659	7104	3659
660	7113	3648
661	7123	3636
662	7132	3625
663	7141	3613
664	7151	3602
665	7161	3591
666	7170	3579
667	7179	3568
668	7188	3556
669	7198	3545
670	7208	3534
671	7217	3522
672	7227	3511
673	7237	3500
674	7247	3489
675	7257	3478
676	7273	3470
677	7284	3459
678	7293	3448
679	7303	3437
680	7313	3425
681	7322	3414
682	7332	3403
683	7341	3391
684	7351	3380
685	7361	3369
686	7370	3358
687	7380	3346
688	7389	3335
689	7399	3324
690	7408	3313
691	7418	3301
692	7428	3290
693	7442	3281
694	7452	3270
695	7461	3259
696	7470	3247
697	7480	3236
698	7489	3225
699	7498	3213
700	7508	3202
701	7517	3191
702	7526	3179
703	7535	3168
704	7545	3157
705	7554	3146
706	7564	3134
707	7574	3123
708	7583	3112
709	7593	3101
710	7602	3090
711	7612	3079
712	7621	3067
713	7634	3058
714	7644	3047
715	7654	3036
716	7665	3025
717	7675	3014
718	7685	3003
719	7694	2992
720	7704	2981
721	7714	2970
722	7724	2959
723	7734	2948
724	7743	2937
725	7753	2926
726	7763	2915
727	7773	2904
728	7783	2893
729	7793	2882
730	7803	2871
731	7815	2861
732	7825	2850
733	7835	2839
734	7845	2828
735	7854	2817
736	7864	2806
737	7873	2795
738	7883	2784
739	7892	2773
740	7902	2762
741	7911	2750
742	7920	2739
743	7930	2728
744	7940	2717
745	7949	2706
746	7958	2695
747	7967	2684
748	7977	2673
749	7992	2664
750	8002	2653
751	8012	2642
752	8021	2631
753	8030	2620
754	8040	2609
755	8049	2597
756	8059	2587
757	8069	2576
758	8078	2565
759	8088	2554
760	8097	2543
761	8106	2532
762	8116	2521
763	8125	2510
764	8135	2499
765	8144	2488
766	8154	2477
767	8165	2466
768	8176	2456
769	8186	2445
770	8196	2434
771	8205	2423
772	8215	2412
773	8224	2401
774	8234	2390
775	8244	2379
776	8253	2368
777	8262	2357
778	8272	2346
779	8281	2335
780	8291	2325
781	8301	2314
782	8310	2303
783	8320	2292
784	8329	2281
785	8339	2270
786	8349	2259
787	8361	2249
788	8372	2238
789	8382	2228
790	8391	2217
791	8401	2206
792	8411	2195
793	8420	2184
794	8430	2173
795	8440	2163
796	8449	2152
797	8459	2141
798	8468	2130
799	8478	2119
800	8488	2108
801	8497	2097
802	8507	2087
803	8516	2076
804	8526	2065
805	8537	2054
806	8550	2044
807	8560	2034
808	8569	2023
809	8579	2012
810	8588	2001
811	8598	1990
812	8608	1979
813	8617	1969
814	8626	1958
815	8636	1947
816	8646	1936
817	8655	1925
818	8665	1915
819	8675	1904
820	8684	1893
821	8693	1882
822	8703	1871
823	8717	1862
824	8729	1851
825	8739	1840
826	8748	1830
827	8758	1819
828	8767	1808
829	8776	1797
830	8785	1786
831	8794	1775
832	8804	1765
833	8813	1754
834	8823	1743
835	8832	1732
836	8841	1721
837	8851	1711
838	8860	1700
839	8869	1689
840	8879	1678
841	8895	1669
842	8905	1658
843	8916	1648
844	8925	1637
845	8935	1626
846	8946	1616
847	8955	1605
848	8965	1594
849	8974	1583
850	8983	1572
851	8993	1562
852	9002	1551
853	9012	1540
854	9021	1529
855	9031	1519
856	9040	1508
857	9049	1497
858	9059	1487
859	9069	1476
860	9080	1465
861	9090	1455
862	9099	1444
863	9109	1433
864	9118	1423
865	9128	1412
866	9137	1401
867	9147	1391
868	9156	1380
869	9166	1369
870	9175	1358
871	9184	1348
872	9194	1337
873	9203	1326
874	9212	1316
875	9222	1305
876	9231	1294
877	9241	1284
878	9250	1273
879	9265	1263
880	9274	1252
881	9284	1242
882	9293	1231
883	9303	1220
884	9312	1210
885	9322	1199
886	9331	1188
887	9340	1178
888	9349	1167
889	9359	1156
890	9368	1146
891	9377	1135
892	9387	1124
893	9397	1114
894	9406	1103
895	9416	1092
896	9425	1082
897	9441	1072
898	9451	1061
899	9461	1051
900	9471	1040
901	9480	1030
902	9490	1019
903	9500	1008
904	9509	998
905	9519	987
906	9529	977
907	9539	966
908	9549	955
909	9559	945
910	9569	934
911	9579	924
912	9589	913
913	9599	903
914	9615	893
915	9625	882
916	9634	872
917	9644	861
918	9654	850
919	9663	840
920	9673	829
921	9684	819
922	9694	808
923	9703	798
924	9713	787
925	9722	776
926	9732	766
927	9741	755
928	9751	745
929	9761	734
930	9770	724
931	9780	713
932	9789	703
933	9801	692
934	9812	682
935	9822	671
936	9831	661
937	9841	650
938	9851	639
939	9860	629
940	9870	618
941	9880	608
942	9889	597
943	9899	587
944	9909	576
945	9918	566
946	9927	555
947	9937	545
948	9947	534
949	9956	524
950	9966	513
951	9975	502
952	9989	492
953	10000	482
954	10009	471
955	10019	461
956	10029	450
957	10038	440
958	10047	429
959	10057	419
960	10066	408
961	10076	398
962	10086	387
963	10095	377
964	10105	366
965	10115	356
966	10124	345
967	10134	335
968	10144	324
969	10159	314
970	10170	303
971	10180	293
972	10189	282
973	10199	272
974	10209	261
975	10219	251
976	10228	240
977	10238	230
978	10247	219
979	10257	209
980	10267	198
981	10276	188
982	10286	177
983	10295	167
984	10305	156
985	10314	146
986	10324	135
987	10335	125
988	10346	115
989	10356	104
990	10366	94
991	10376	83
992	10385	73
993	10395	62
994	10404	52
995	10413	41
996	10423	31
997	10432	20
998	10441	10
999	10450	0
